[Version1]
FullName,Value

Controller.<>.i1,
Controller.<>.i2,
Controller.<>.o1,
Controller.=.i1,
Controller.=.i2,
Controller.=.o1,
Controller.1 gain.i1,
Controller.1 gain.o1,
Controller.Micro850.Micro850.__SYSVA_ABORT_CYCLE,FALSE
Controller.Micro850.Micro850.__SYSVA_CCEXEC,FALSE
Controller.Micro850.Micro850.__SYSVA_CYCLECNT,2185656
Controller.Micro850.Micro850.__SYSVA_CYCLEDATE,T#33m26s514ms
Controller.Micro850.Micro850.__SYSVA_FIRST_SCAN,FALSE
Controller.Micro850.Micro850.__SYSVA_KVBCERR,FALSE
Controller.Micro850.Micro850.__SYSVA_KVBPERR,FALSE
Controller.Micro850.Micro850.__SYSVA_MAJ_ERR_HALT,FALSE
Controller.Micro850.Micro850.__SYSVA_POWERUP_BIT,FALSE
Controller.Micro850.Micro850.__SYSVA_PROJ_INCOMPLETE,0
Controller.Micro850.Micro850.__SYSVA_REMOTE,FALSE
Controller.Micro850.Micro850.__SYSVA_RESMODE,3
Controller.Micro850.Micro850.__SYSVA_RESNAME,'CONTROLLER\MICRO850\MICRO850'
Controller.Micro850.Micro850.__SYSVA_SCANCNT,2185717
Controller.Micro850.Micro850.__SYSVA_SUSPEND_ID,0
Controller.Micro850.Micro850.__SYSVA_TCYCURRENT,T#2ms
Controller.Micro850.Micro850.__SYSVA_TCYCYCTIME,T#0s
Controller.Micro850.Micro850.__SYSVA_TCYMAXIMUM,T#4ms
Controller.Micro850.Micro850.__SYSVA_TCYOVERFLOW,0
Controller.Micro850.Micro850.__SYSVA_TCYWDG,2000
Controller.Micro850.Micro850.__SYSVA_USER_DATA_LOST,FALSE
Controller.Micro850.Micro850._IO_EM_DI_00,FALSE
Controller.Micro850.Micro850._IO_EM_DI_01,FALSE
Controller.Micro850.Micro850._IO_EM_DI_02,FALSE
Controller.Micro850.Micro850._IO_EM_DI_03,FALSE
Controller.Micro850.Micro850._IO_EM_DI_04,FALSE
Controller.Micro850.Micro850._IO_EM_DI_05,FALSE
Controller.Micro850.Micro850._IO_EM_DI_06,FALSE
Controller.Micro850.Micro850._IO_EM_DI_07,FALSE
Controller.Micro850.Micro850._IO_EM_DI_08,FALSE
Controller.Micro850.Micro850._IO_EM_DI_09,FALSE
Controller.Micro850.Micro850._IO_EM_DI_10,FALSE
Controller.Micro850.Micro850._IO_EM_DI_11,FALSE
Controller.Micro850.Micro850._IO_EM_DI_12,FALSE
Controller.Micro850.Micro850._IO_EM_DI_13,FALSE
Controller.Micro850.Micro850._IO_EM_DO_00,FALSE
Controller.Micro850.Micro850._IO_EM_DO_01,FALSE
Controller.Micro850.Micro850._IO_EM_DO_02,FALSE
Controller.Micro850.Micro850._IO_EM_DO_03,FALSE
Controller.Micro850.Micro850._IO_EM_DO_04,FALSE
Controller.Micro850.Micro850._IO_EM_DO_05,TRUE
Controller.Micro850.Micro850._IO_EM_DO_06,TRUE
Controller.Micro850.Micro850._IO_EM_DO_07,FALSE
Controller.Micro850.Micro850._IO_EM_DO_08,FALSE
Controller.Micro850.Micro850._IO_EM_DO_09,FALSE
Controller.Micro850.Micro850.A,FALSE
Controller.Micro850.Micro850.activabotador,FALSE
Controller.Micro850.Micro850.anterior,
Controller.Micro850.Micro850.B,FALSE
Controller.Micro850.Micro850.BascualaEstable,FALSE
Controller.Micro850.Micro850.botador,FALSE
Controller.Micro850.Micro850.C,FALSE
Controller.Micro850.Micro850.cancelar,FALSE
Controller.Micro850.Micro850.corto,TRUE
Controller.Micro850.Micro850.counterrr,
Controller.Micro850.Micro850.D,FALSE
Controller.Micro850.Micro850.E,FALSE
Controller.Micro850.Micro850.enableWatchdog,FALSE
Controller.Micro850.Micro850.errorID,0
Controller.Micro850.Micro850.errorIDABL,0
Controller.Micro850.Micro850.errorIDACL,0
Controller.Micro850.Micro850.errorStatus,FALSE
Controller.Micro850.Micro850.esperamicro.ET,T#0s
Controller.Micro850.Micro850.esperamicro.IN,FALSE
Controller.Micro850.Micro850.esperamicro.Pdate,T#0s
Controller.Micro850.Micro850.esperamicro.PT,T#1s
Controller.Micro850.Micro850.esperamicro.Q,FALSE
Controller.Micro850.Micro850.esperamicro.Redge,FALSE
Controller.Micro850.Micro850.estabilidad,TRUE
Controller.Micro850.Micro850.F,FALSE
Controller.Micro850.Micro850.habBascula,FALSE
Controller.Micro850.Micro850.inicioCiclo,FALSE
Controller.Micro850.Micro850.InicioDosificado,FALSE
Controller.Micro850.Micro850.K,FALSE
Controller.Micro850.Micro850.L,FALSE
Controller.Micro850.Micro850.Llenar,FALSE
Controller.Micro850.Micro850.localAdr[1],2
Controller.Micro850.Micro850.localAdr[10],176
Controller.Micro850.Micro850.localAdr[11],176
Controller.Micro850.Micro850.localAdr[12],176
Controller.Micro850.Micro850.localAdr[13],176
Controller.Micro850.Micro850.localAdr[14],176
Controller.Micro850.Micro850.localAdr[15],176
Controller.Micro850.Micro850.localAdr[16],176
Controller.Micro850.Micro850.localAdr[17],13
Controller.Micro850.Micro850.localAdr[18],128
Controller.Micro850.Micro850.localAdr[19],0
Controller.Micro850.Micro850.localAdr[2],179
Controller.Micro850.Micro850.localAdr[20],0
Controller.Micro850.Micro850.localAdr[21],0
Controller.Micro850.Micro850.localAdr[22],0
Controller.Micro850.Micro850.localAdr[23],0
Controller.Micro850.Micro850.localAdr[24],0
Controller.Micro850.Micro850.localAdr[25],0
Controller.Micro850.Micro850.localAdr[26],0
Controller.Micro850.Micro850.localAdr[27],0
Controller.Micro850.Micro850.localAdr[28],0
Controller.Micro850.Micro850.localAdr[29],0
Controller.Micro850.Micro850.localAdr[3],176
Controller.Micro850.Micro850.localAdr[30],0
Controller.Micro850.Micro850.localAdr[31],0
Controller.Micro850.Micro850.localAdr[32],0
Controller.Micro850.Micro850.localAdr[33],0
Controller.Micro850.Micro850.localAdr[34],0
